"Carimbo de data/hora","Você já utilizou algum frete?","Com que frequência?","Qual o mais frequente?","Qual a forma utilizada para contatar o motorista?","Qual critério na escolha do motorista?","Sua opinião em relação ao preço cobrado","Metodo de pagamento mais utilizado","Você conhece algum sistema que ajude no uso desse serviço?","Se sim, qual?","Gostaria de usar a tecnologia para auxiliar na sua procura?","Porque não conseguiu?","Porque nunca utilizou?","Porque não gosta ou confia no serviço?"
"2017/09/21 11:54:34 AM GMT-3","Sim","Raramente","","O motorista é um conhecido","Segurança;Preço","","","","","Sim","","",""
"2017/09/21 12:44:48 PM GMT-3","Não","","","","","","","","","","","Não tenho dinheiro pra isso",""
"2017/09/21 12:46:02 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 1:08:41 PM GMT-3","Sim","Ocasionalmente","Motoboy","Contato com Cooperativa(motoboy)","Segurança;Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 1:13:00 PM GMT-3","Sim","Raramente","Motoboy","O motorista é um conhecido;Fui pessoalmente ao local onde o motorista fica","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 1:14:50 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 1:18:34 PM GMT-3","Sim","Raramente","mercadolivre eu n vi ocarro","mercadolivre eu n vi ocarro","mercadolivre eu n vi ocarro","tava junto na compra do ml","Dinheiro","Sim","mercado livre","Sim","","",""
"2017/09/21 1:34:36 PM GMT-3","Sim","Raramente","Carro","Pegou o número com alguém;O motorista é um conhecido","Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 1:35:42 PM GMT-3","Sim","Ocasionalmente","Carro","Fui pessoalmente ao local onde o motorista fica","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 1:46:37 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Fui pessoalmente ao local onde o motorista fica","Segurança;Preço","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 1:47:21 PM GMT-3","Sim","Ocasionalmente","Carro","Fui pessoalmente ao local onde o motorista fica","Preço","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 1:48:04 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 1:48:24 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","O motorista é um conhecido","Segurança;Preço","Justo","Dinheiro","Não","","Não","","",""
